#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-contig/pond-local-busy-24-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.0148262 seconds
Distributing the actor graph took: 39.6484 seconds
Added actors in: 0.108431 seconds.
Initialized connections of actors in: 0.0522146 seconds.
Async Migration only
Output number: 1, Rank-10: (1) 3 | (2) 1081 | (3)0.277521/100 | (4) 34, 34 | (5) 3.60004 | (6) 80.4791 | (7) 0.00014882 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.6667/100 | (15) 0 | (17) (34, 34) | (18) X | (19) (98090, 98090) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 12.6542 | (25) (0.48524, 126-32) | (26) 44813
Output number: 1, Rank-242: (1) 0 | (2) 501 | (3)0/100 | (4) 31, 31 | (5) 3.12572 | (6) 79.9722 | (7) 0.000125831 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.1111/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (95458, 95458) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 10.4692 | (25) (0.40056, 6-48) | (26) 16782
Output number: 1, Rank-274: (1) 26 | (2) 742 | (3)3.50404/100 | (4) 14, 14 | (5) 164.416 | (6) 6.58537 | (7) 0.000232751 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 95/100 | (15) 0 | (17) (14, 14) | (18) X | (19) (59073, 59073) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 464.402 | (25) (33.4451, 9-2) | (26) 1
Output number: 1, Rank-70: (1) 0 | (2) 760 | (3)0/100 | (4) 30, 30 | (5) 3.16512 | (6) 80.8484 | (7) 0.000147674 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.6667/100 | (15) 0 | (17) (30, 30) | (18) X | (19) (93866, 93866) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 10.2039 | (25) (0.40906, 86-29) | (26) 1
Output number: 1, Rank-144: (1) 0 | (2) 1575 | (3)0/100 | (4) 31, 31 | (5) 3.1133 | (6) 81.6556 | (7) 2.2302e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.6667/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (95218, 95218) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 9.27164 | (25) (0.40951, 137-64) | (26) 3540
Output number: 1, Rank-31: (1) 52 | (2) 1303 | (3)3.99079/100 | (4) 14, 14 | (5) 134.955 | (6) 19.8609 | (7) 0.000172796 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 85.5556/100 | (15) 0 | (17) (14, 14) | (18) X | (19) (82764, 82764) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 460.882 | (25) (33.2972, 137-10) | (26) 1
Output number: 1, Rank-169: (1) 19 | (2) 917 | (3)2.07197/100 | (4) 15, 15 | (5) 162.862 | (6) 7.43335 | (7) 0.000204183 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.004 | (14) 94.4444/100 | (15) 0 | (17) (15, 15) | (18) X | (19) (55442, 55442) | (20) 1 | (21) 1 | (22) 0 | (23) 3 | (24) 493.035 | (25) (33.2494, 60-67) | (26) 1
Output number: 1, Rank-405: (1) 0 | (2) 1380 | (3)0/100 | (4) 31, 31 | (5) 3.17748 | (6) 81.8543 | (7) 0.000146832 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 47.2222/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (95175, 95175) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 10.9311 | (25) (0.42916, 37-124) | (26) 248
Output number: 1, Rank-644: (1) 0 | (2) 1397 | (3)0/100 | (4) 31, 31 | (5) 3.17442 | (6) 83.2246 | (7) 0.000167151 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 47.7778/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (94629, 94629) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 10.6356 | (25) (0.38472, 120-91) | (26) 32562
Output number: 1, Rank-109: (1) 34 | (2) 956 | (3)3.55649/100 | (4) 15, 15 | (5) 158.685 | (6) 9.30678 | (7) 6.4667e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 92.7778/100 | (15) 0 | (17) (15, 15) | (18) X | (19) (59033, 59033) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 493.316 | (25) (33.211, 73-60) | (26) 1
Output number: 1, Rank-286: (1) 28 | (2) 1104 | (3)2.53623/100 | (4) 16, 16 | (5) 111.308 | (6) 31.396 | (7) 0.000164414 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 78.8889/100 | (15) 0 | (17) (16, 16) | (18) X | (19) (92414, 92414) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 454.879 | (25) (32.6292, 17-3) | (26) 1
Output number: 1, Rank-343: (1) 14 | (2) 357 | (3)3.92157/100 | (4) 13, 13 | (5) 156.059 | (6) 10.2077 | (7) 0.000158622 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 92.2222/100 | (15) 0 | (17) (13, 13) | (18) X | (19) (47992, 47992) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 435.051 | (25) (40.0799, 5-142) | (26) 1
Output number: 1, Rank-199: (1) 46 | (2) 947 | (3)4.85744/100 | (4) 15, 15 | (5) 147.287 | (6) 14.4598 | (7) 0.00013841 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 89.4444/100 | (15) 0 | (17) (15, 15) | (18) X | (19) (78386, 78386) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 491.287 | (25) (33.0717, 57-70) | (26) 1
Output number: 1, Rank-505: (1) 28 | (2) 491 | (3)5.70265/100 | (4) 31, 31 | (5) 136.869 | (6) 18.7552 | (7) 0.000209256 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 86.1111/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (121950, 121950) | (20) 1 | (21) 0 | (22) 0 | (23) 20 | (24) 535.002 | (25) (33.4624, 128-141) | (26) 1
Output number: 1, Rank-117: (1) 28 | (2) 811 | (3)3.45253/100 | (4) 14, 14 | (5) 150.67 | (6) 12.8869 | (7) 0.000106676 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 90.5556/100 | (15) 0 | (17) (14, 14) | (18) X | (19) (86206, 86206) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 490.859 | (25) (35.2589, 82-63) | (26) 1
Output number: 1, Rank-365: (1) 49 | (2) 1569 | (3)3.12301/100 | (4) 14, 14 | (5) 96.6102 | (6) 38.5356 | (7) 0.000122208 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 75/100 | (15) 0 | (17) (14, 14) | (18) X | (19) (97630, 97630) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 408.008 | (25) (34.1116, 4-128) | (26) 1
Output number: 1, Rank-536: (1) 29 | (2) 1578 | (3)1.83777/100 | (4) 57, 57 | (5) 6.09232 | (6) 81.2187 | (7) 0.000163616 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 48.3333/100 | (15) 0 | (17) (57, 57) | (18) X | (19) (104555, 104555) | (20) 1 | (21) 1 | (22) 0 | (23) 3 | (24) 215.059 | (25) (33.0075, 138-125) | (26) 1
Output number: 1, Rank-243: (1) 0 | (2) 463 | (3)0/100 | (4) 31, 31 | (5) 3.24906 | (6) 81.719 | (7) 0.000136615 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.6667/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (95023, 95023) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 9.42406 | (25) (0.3545, 12-48) | (26) 19011
Output number: 1, Rank-276: (1) 17 | (2) 1218 | (3)1.39573/100 | (4) 14, 14 | (5) 165.94 | (6) 5.93774 | (7) 0.000174342 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 95/100 | (15) 0 | (17) (14, 14) | (18) X | (19) (50662, 50662) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 458.924 | (25) (33.2856, 5-3) | (26) 1
Output number: 1, Rank-455: (1) 63 | (2) 1443 | (3)4.3659/100 | (4) 24, 24 | (5) 74.7067 | (6) 48.1456 | (7) 6.7246e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 67.7778/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (135599, 135599) | (20) 1 | (21) 0 | (22) 0 | (23) 7 | (24) 526.719 | (25) (33.4286, 58-87) | (26) 1
Output number: 1, Rank-327: (1) 0 | (2) 1144 | (3)0/100 | (4) 31, 31 | (5) 3.22055 | (6) 81.1339 | (7) 0.00015359 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.6667/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (94773, 94773) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 9.71079 | (25) (0.39028, 70-10) | (26) 6368
Output number: 1, Rank-487: (1) 4 | (2) 1205 | (3)0.33195/100 | (4) 34, 34 | (5) 3.23466 | (6) 79.8118 | (7) 0.000118001 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.1111/100 | (15) 0 | (17) (34, 34) | (18) X | (19) (97700, 97700) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 8.63101 | (25) (0.35102, 29-79) | (26) 15706
Output number: 1, Rank-629: (1) 51 | (2) 1035 | (3)4.92754/100 | (4) 26, 26 | (5) 120.561 | (6) 26.7617 | (7) 0.000129501 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 81.6667/100 | (15) 0 | (17) (26, 26) | (18) X | (19) (103895, 103895) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 527.264 | (25) (32.9383, 80-83) | (26) 1
Output number: 1, Rank-563: (1) 0 | (2) 1426 | (3)0/100 | (4) 30, 30 | (5) 3.18033 | (6) 81.4724 | (7) 0.000139552 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.6667/100 | (15) 0 | (17) (30, 30) | (18) X | (19) (91761, 91761) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 10.7122 | (25) (0.44662, 105-118) | (26) 90614
Output number: 1, Rank-593: (1) 32 | (2) 1035 | (3)3.09179/100 | (4) 15, 15 | (5) 156.005 | (6) 10.8555 | (7) 0.000203004 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 92.2222/100 | (15) 0 | (17) (15, 15) | (18) X | (19) (87610, 87610) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 497.125 | (25) (33.3254, 82-70) | (26) 1
Output number: 1, Rank-71: (1) 0 | (2) 1645 | (3)0/100 | (4) 31, 31 | (5) 3.18111 | (6) 81.4223 | (7) 0.000147699 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.6667/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (93979, 93979) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 10.4134 | (25) (0.3742, 78-29) | (26) 2195
Output number: 1, Rank-151: (1) 0 | (2) 412 | (3)0/100 | (4) 31, 31 | (5) 3.40324 | (6) 80.6031 | (7) 0.000129924 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.6667/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (94903, 94903) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 9.69398 | (25) (0.39244, 117-35) | (26) 1
Output number: 1, Rank-32: (1) 60 | (2) 1383 | (3)4.33839/100 | (4) 32, 32 | (5) 70.2574 | (6) 52.3096 | (7) 0.000174715 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.004 | (14) 67.7778/100 | (15) 0 | (17) (32, 32) | (18) X | (19) (129533, 129533) | (20) 1 | (21) 1 | (22) 0 | (23) 11 | (24) 467.048 | (25) (33.3659, 133-8) | (26) 1
Output number: 1, Rank-185: (1) 47 | (2) 1260 | (3)3.73016/100 | (4) 17, 17 | (5) 95.7816 | (6) 38.8994 | (7) 0.000210617 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.006 | (14) 74.4444/100 | (15) 0 | (17) (17, 17) | (18) X | (19) (151326, 151326) | (20) 1 | (21) 1 | (22) 0 | (23) 15 | (24) 496.161 | (25) (33.2922, 70-54) | (26) 1
Output number: 1, Rank-393: (1) 0 | (2) 1238 | (3)0/100 | (4) 30, 30 | (5) 3.14614 | (6) 85.1973 | (7) 0.000120264 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 48.8889/100 | (15) 0 | (17) (30, 30) | (18) X | (19) (92707, 92707) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 9.1432 | (25) (0.38428, 58-126) | (26) 771
Output number: 1, Rank-647: (1) 0 | (2) 1268 | (3)0/100 | (4) 31, 31 | (5) 3.20137 | (6) 81.8068 | (7) 0.000134891 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 47.2222/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (94561, 94561) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 6.88815 | (25) (0.25031, 126-78) | (26) 1852
Output number: 1, Rank-101: (1) 42 | (2) 1669 | (3)2.51648/100 | (4) 33, 33 | (5) 26.7551 | (6) 70.211 | (7) 6.5535e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.004 | (14) 53.3333/100 | (15) 0 | (17) (33, 33) | (18) X | (19) (123350, 123350) | (20) 1 | (21) 1 | (22) 0 | (23) 12 | (24) 501.734 | (25) (33.637, 80-52) | (26) 1
Output number: 1, Rank-285: (1) 34 | (2) 1559 | (3)2.18089/100 | (4) 48, 48 | (5) 40.8343 | (6) 62.9588 | (7) 8.625e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.005 | (14) 57.2222/100 | (15) 0 | (17) (48, 48) | (18) X | (19) (125792, 125792) | (20) 1 | (21) 1 | (22) 0 | (23) 10 | (24) 470.309 | (25) (33.1444, 12-0) | (26) 1
Output number: 1, Rank-202: (1) 62 | (2) 993 | (3)6.24371/100 | (4) 25, 25 | (5) 100.284 | (6) 37.5117 | (7) 0.000218461 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 76.1111/100 | (15) 0 | (17) (25, 25) | (18) X | (19) (131815, 131815) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 501.644 | (25) (33.6758, 58-64) | (26) 1
Output number: 1, Rank-525: (1) 19 | (2) 1030 | (3)1.84466/100 | (4) 15, 15 | (5) 148.877 | (6) 13.7574 | (7) 0.000121367 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 90/100 | (15) 0 | (17) (15, 15) | (18) X | (19) (72132, 72132) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 461.469 | (25) (33.5113, 127-136) | (26) 1
Output number: 1, Rank-116: (1) 39 | (2) 1200 | (3)3.25/100 | (4) 17, 17 | (5) 110.821 | (6) 31.2423 | (7) 7.7625e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 78.8889/100 | (15) 0 | (17) (17, 17) | (18) X | (19) (104159, 104159) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 466.169 | (25) (33.5125, 87-64) | (26) 1
Output number: 1, Rank-534: (1) 16 | (2) 1321 | (3)1.2112/100 | (4) 14, 14 | (5) 155.918 | (6) 11.037 | (7) 0.000134427 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 92.2222/100 | (15) 0 | (17) (14, 14) | (18) X | (19) (45992, 45992) | (20) 1 | (21) 1 | (22) 0 | (23) 2 | (24) 474.667 | (25) (34.2283, 140-135) | (26) 1
Output number: 1, Rank-244: (1) 0 | (2) 683 | (3)0/100 | (4) 31, 31 | (5) 3.18733 | (6) 89.6822 | (7) 0.000154145 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 51.1111/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (95153, 95153) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 10.4211 | (25) (0.37019, 17-47) | (26) 15336
Output number: 1, Rank-279: (1) 39 | (2) 1419 | (3)2.74841/100 | (4) 17, 17 | (5) 133.509 | (6) 21.4477 | (7) 0.000180779 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.005 | (14) 85.5556/100 | (15) 0 | (17) (17, 17) | (18) X | (19) (98613, 98613) | (20) 1 | (21) 1 | (22) 0 | (23) 5 | (24) 459.724 | (25) (33.3044, 4-14) | (26) 1
Output number: 1, Rank-448: (1) 69 | (2) 1687 | (3)4.0901/100 | (4) 72, 72 | (5) 16.2541 | (6) 74.8702 | (7) 0.000141563 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.004 | (14) 50.5556/100 | (15) 0 | (17) (71, 71) | (18) X | (19) (152071, 152071) | (20) 1 | (21) 1 | (22) 0 | (23) 22 | (24) 561.37 | (25) (61.1614, 70-91) | (26) 1
Output number: 1, Rank-308: (1) 1 | (2) 1380 | (3)0.0724638/100 | (4) 31, 31 | (5) 3.23423 | (6) 81.7412 | (7) 0.000151715 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.6667/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (94367, 94367) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 10.6279 | (25) (0.37773, 41-33) | (26) 57367
Output number: 1, Rank-489: (1) 1 | (2) 1226 | (3)0.0815661/100 | (4) 32, 32 | (5) 3.2108 | (6) 77.1316 | (7) 0.000130825 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 44.4444/100 | (15) 0 | (17) (32, 32) | (18) X | (19) (95607, 95607) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 10.5163 | (25) (0.38805, 33-90) | (26) 15286
Output number: 1, Rank-626: (1) 48 | (2) 1341 | (3)3.57942/100 | (4) 15, 15 | (5) 109.902 | (6) 32.1208 | (7) 0.00022016 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 78.8889/100 | (15) 0 | (17) (15, 15) | (18) X | (19) (80669, 80669) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 508.689 | (25) (34.2985, 86-85) | (26) 1
Output number: 1, Rank-565: (1) 1 | (2) 942 | (3)0.106157/100 | (4) 31, 31 | (5) 3.17789 | (6) 81.1563 | (7) 0.00012053 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.6667/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (92754, 92754) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 10.6624 | (25) (0.39833, 96-107) | (26) 76023
Output number: 1, Rank-594: (1) 34 | (2) 997 | (3)3.41023/100 | (4) 16, 16 | (5) 126.705 | (6) 23.6585 | (7) 0.000148719 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 83.3333/100 | (15) 0 | (17) (16, 16) | (18) X | (19) (77054, 77054) | (20) 1 | (21) 0 | (22) 0 | (23) 10 | (24) 531.789 | (25) (33.3794, 84-69) | (26) 1
Output number: 2, Rank-26: (1) 18 | (2) 1755 | (3)1.02564/100 | (4) 15, 15 | (5) 326.896 | (6) 13.9487 | (7) 0.000135736 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 94.4444/100 | (15) 0 | (17) (15, 15) | (18) X | (19) (100201, 49427) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 492.519 | (25) (33.4729, 143-13) | (26) 3989
Output number: 2, Rank-6: (1) 50 | (2) 2250 | (3)2.22222/100 | (4) 15, 15 | (5) 239.227 | (6) 54.9166 | (7) 0.000177171 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 81.6667/100 | (15) 0 | (17) (15, 15) | (18) X | (19) (235744, 104664) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 498.382 | (25) (33.86, 136-12) | (26) 32056
Output number: 2, Rank-1: (1) 16 | (2) 2196 | (3)0.728597/100 | (4) 47, 47 | (5) 7.50605 | (6) 164.803 | (7) 8.3287e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 47.7778/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (199173, 103816) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 18.1652 | (25) (0.4547, 128-23) | (26) 21896
Output number: 2, Rank-20: (1) 0 | (2) 1859 | (3)0/100 | (4) 31, 31 | (5) 7.2762 | (6) 162.949 | (7) 0.000148533 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 47.2222/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (195458, 100347) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 11.7054 | (25) (0.42289, 107-25) | (26) 126787
Output number: 2, Rank-10: (1) 10 | (2) 2683 | (3)0.372717/100 | (4) 41, 41 | (5) 7.65731 | (6) 160.485 | (7) 0.00014882 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 46.6667/100 | (15) 0 | (17) (41, 41) | (18) X | (19) (210002, 111912) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 14.5982 | (25) (0.40003, 119-29) | (26) 90951
Output number: 2, Rank-11: (1) 0 | (2) 3011 | (3)0/100 | (4) 29, 29 | (5) 6.83164 | (6) 166.092 | (7) 0.000203766 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 47.7778/100 | (15) 0 | (17) (29, 29) | (18) X | (19) (182912, 93873) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 10.8758 | (25) (0.43758, 123-36) | (26) 126009
Output number: 2, Rank-12: (1) 8 | (2) 2445 | (3)0.327198/100 | (4) 39, 39 | (5) 7.32195 | (6) 160.067 | (7) 0.000166813 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 46.3889/100 | (15) 0 | (17) (39, 39) | (18) X | (19) (199520, 104399) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 14.461 | (25) (0.42777, 116-35) | (26) 107631
Output number: 2, Rank-13: (1) 0 | (2) 850 | (3)0/100 | (4) 31, 31 | (5) 7.23492 | (6) 164.036 | (7) 0.000127582 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 47.5/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (195329, 100347) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 11.573 | (25) (0.43571, 108-31) | (26) 124016
Output number: 2, Rank-14: (1) 0 | (2) 709 | (3)0/100 | (4) 31, 31 | (5) 7.13522 | (6) 164.258 | (7) 0.000143554 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 47.5/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (195202, 100347) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 11.5277 | (25) (0.5215, 114-32) | (26) 126617
Output number: 2, Rank-18: (1) 20 | (2) 2807 | (3)0.712504/100 | (4) 51, 51 | (5) 8.9993 | (6) 162.448 | (7) 0.000164145 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 47.5/100 | (15) 0 | (17) (51, 51) | (18) X | (19) (216808, 120812) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 21.5029 | (25) (2.25679, 113-17) | (26) 1933
Output number: 2, Rank-19: (1) 9 | (2) 2573 | (3)0.349786/100 | (4) 40, 40 | (5) 7.4689 | (6) 162.176 | (7) 0.000148559 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 46.9444/100 | (15) 0 | (17) (40, 40) | (18) X | (19) (199803, 104293) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 14.5515 | (25) (0.41371, 114-26) | (26) 97865
Output number: 2, Rank-25: (1) 7 | (2) 1952 | (3)0.358607/100 | (4) 15, 15 | (5) 322.631 | (6) 16.1819 | (7) 0.000161322 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 93.8889/100 | (15) 0 | (17) (15, 15) | (18) X | (19) (97378, 46685) | (20) 1 | (21) 0 | (22) 0 | (23) 4 | (24) 497.512 | (25) (33.3921, 140-2) | (26) 1
Output number: 2, Rank-4: (1) 8 | (2) 2203 | (3)0.363141/100 | (4) 38, 38 | (5) 7.2427 | (6) 162.606 | (7) 0.000149022 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 46.9444/100 | (15) 0 | (17) (38, 38) | (18) X | (19) (193185, 99810) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 14.3263 | (25) (0.43832, 138-30) | (26) 64167
Output number: 2, Rank-3: (1) 25 | (2) 2610 | (3)0.957854/100 | (4) 55, 55 | (5) 9.37505 | (6) 160.632 | (7) 0.000130945 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 47.2222/100 | (15) 0 | (17) (55, 55) | (18) X | (19) (233746, 136671) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 117.672 | (25) (33.1202, 137-23) | (26) 7522
Output number: 2, Rank-2: (1) 25 | (2) 2694 | (3)0.927988/100 | (4) 48, 48 | (5) 22.9338 | (6) 155.164 | (7) 0.000143795 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 49.4444/100 | (15) 0 | (17) (48, 48) | (18) X | (19) (212250, 116066) | (20) 1 | (21) 0 | (22) 0 | (23) 5 | (24) 503.727 | (25) (32.96, 142-23) | (26) 1
