#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-contig/pond-local-busy-8-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00346668 seconds
Distributing the actor graph took: 39.6762 seconds
Added actors in: 0.250484 seconds.
Initialized connections of actors in: 0.0454677 seconds.
Async Migration only
Output number: 1, Rank-18: (1) 27 | (2) 1005 | (3)2.68657/100 | (4) 43, 43 | (5) 150.511 | (6) 12.6881 | (7) 0.000158991 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 90.5556/100 | (15) 0 | (17) (43, 43) | (18) X | (19) (62980, 62980) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 1396.84 | (25) (33.575, 67-70) | (26) 13
Output number: 3, Rank-164: (1) 0 | (2) 53 | (3)0/100 | (4) 94, 94 | (5) 10.3791 | (6) 214.198 | (7) 0.000163927 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 41.4815/100 | (15) 0 | (17) (94, 94) | (18) X | (19) (290768, 103344) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 32.8637 | (25) (0.41089, 77-112) | (26) 67662
Output number: 3, Rank-50: (1) 1 | (2) 1068 | (3)0.093633/100 | (4) 93, 93 | (5) 10.3214 | (6) 231.992 | (7) 0.000192905 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 44.8148/100 | (15) 0 | (17) (93, 93) | (18) X | (19) (288658, 100557) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 32.9564 | (25) (0.49293, 48-27) | (26) 4313
Output number: 3, Rank-212: (1) 0 | (2) 446 | (3)0/100 | (4) 93, 93 | (5) 10.179 | (6) 218.472 | (7) 0.000210473 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 42.2222/100 | (15) 0 | (17) (93, 93) | (18) X | (19) (287151, 102249) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 32.5898 | (25) (0.4448, 84-108) | (26) 68874
Output number: 3, Rank-181: (1) 1 | (2) 222 | (3)0.45045/100 | (4) 95, 95 | (5) 10.7 | (6) 216.493 | (7) 0.00025504 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 42.037/100 | (15) 0 | (17) (95, 95) | (18) X | (19) (295827, 104615) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 34.48 | (25) (0.45957, 139-88) | (26) 30245
Output number: 3, Rank-56: (1) 0 | (2) 3369 | (3)0/100 | (4) 93, 93 | (5) 10.0547 | (6) 220.738 | (7) 0.000228372 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 42.5926/100 | (15) 0 | (17) (93, 93) | (18) X | (19) (290838, 101455) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 29.1911 | (25) (0.48014, 87-2) | (26) 4194
Output number: 3, Rank-102: (1) 0 | (2) 4674 | (3)0/100 | (4) 91, 91 | (5) 9.79137 | (6) 227.849 | (7) 0.000196247 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 43.8889/100 | (15) 0 | (17) (91, 91) | (18) X | (19) (283282, 96857) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 30.7306 | (25) (0.41099, 140-43) | (26) 71959
Output number: 3, Rank-125: (1) 17 | (2) 643 | (3)2.64386/100 | (4) 39, 39 | (5) 470.884 | (6) 28.2553 | (7) 0.000295401 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 92.4074/100 | (15) 0 | (17) (39, 39) | (18) X | (19) (178069, 47279) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1264.23 | (25) (32.8291, 2-127) | (26) 2749
Output number: 3, Rank-140: (1) 0 | (2) 2204 | (3)0/100 | (4) 90, 90 | (5) 9.87575 | (6) 217.322 | (7) 0.000219711 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 42.037/100 | (15) 0 | (17) (90, 90) | (18) X | (19) (279612, 99513) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 31.6503 | (25) (0.44708, 63-122) | (26) 4487
Output number: 3, Rank-51: (1) 0 | (2) 2956 | (3)0/100 | (4) 90, 90 | (5) 10.1626 | (6) 224.035 | (7) 0.000280493 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 43.3333/100 | (15) 0 | (17) (90, 90) | (18) X | (19) (280899, 97314) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 31.9397 | (25) (0.41552, 60-21) | (26) 3621
Output number: 3, Rank-26: (1) 40 | (2) 5332 | (3)0.750188/100 | (4) 131, 131 | (5) 22.2815 | (6) 215.815 | (7) 0.000199293 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540.001 | (14) 44.0741/100 | (15) 0 | (17) (131, 131) | (18) X | (19) (325881, 128538) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 404.104 | (25) (33.0802, 52-64) | (26) 1
Output number: 3, Rank-214: (1) 0 | (2) 44 | (3)0/100 | (4) 94, 94 | (5) 10.7454 | (6) 219.963 | (7) 0.000211145 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 42.5926/100 | (15) 0 | (17) (94, 94) | (18) X | (19) (291661, 103306) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 33.9329 | (25) (0.42861, 103-100) | (26) 58866
Output number: 3, Rank-185: (1) 3 | (2) 2685 | (3)0.111732/100 | (4) 92, 92 | (5) 10.1821 | (6) 216.082 | (7) 0.000175942 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 41.8519/100 | (15) 0 | (17) (92, 92) | (18) X | (19) (276133, 99929) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 33.0529 | (25) (0.52477, 81-94) | (26) 65630
Output number: 3, Rank-72: (1) 30 | (2) 5340 | (3)0.561798/100 | (4) 125, 125 | (5) 12.202 | (6) 219.44 | (7) 0.00016418 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 42.7778/100 | (15) 0 | (17) (125, 125) | (18) X | (19) (335287, 119071) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 140.994 | (25) (32.8463, 132-13) | (26) 27478
Output number: 3, Rank-103: (1) 0 | (2) 74 | (3)0/100 | (4) 94, 94 | (5) 10.7066 | (6) 228.185 | (7) 0.000164209 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 44.0741/100 | (15) 0 | (17) (94, 94) | (18) X | (19) (293019, 101580) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 33.4721 | (25) (0.42056, 120-37) | (26) 38390
Output number: 3, Rank-112: (1) 14 | (2) 5115 | (3)0.273705/100 | (4) 108, 108 | (5) 11.1703 | (6) 218.505 | (7) 0.000284945 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 42.4074/100 | (15) 0 | (17) (108, 108) | (18) X | (19) (307932, 112901) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 38.3639 | (25) (0.45776, 34-127) | (26) 59883
Output number: 3, Rank-141: (1) 1 | (2) 123 | (3)0.813008/100 | (4) 95, 95 | (5) 10.57 | (6) 215.117 | (7) 0.00027922 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 41.6667/100 | (15) 0 | (17) (95, 95) | (18) X | (19) (293191, 104122) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 33.9654 | (25) (0.46682, 53-118) | (26) 95495
Output number: 3, Rank-53: (1) 15 | (2) 3038 | (3)0.493746/100 | (4) 108, 108 | (5) 10.7193 | (6) 215.283 | (7) 0.000165565 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 41.8519/100 | (15) 0 | (17) (108, 108) | (18) X | (19) (292183, 102583) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 39.032 | (25) (0.4755, 44-32) | (26) 33982
Output number: 3, Rank-27: (1) 115 | (2) 5073 | (3)2.2669/100 | (4) 201, 201 | (5) 48.4062 | (6) 197.1 | (7) 0.000191762 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540.001 | (14) 45.3704/100 | (15) 0 | (17) (201, 201) | (18) X | (19) (354027, 157601) | (20) 1 | (21) 0 | (22) 0 | (23) 13 | (24) 1226.01 | (25) (33.7437, 55-62) | (26) 1
Output number: 3, Rank-178: (1) 0 | (2) 232 | (3)0/100 | (4) 93, 93 | (5) 10.3437 | (6) 225.77 | (7) 0.000187572 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 43.7037/100 | (15) 0 | (17) (93, 93) | (18) X | (19) (289596, 102609) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 32.671 | (25) (0.51094, 128-81) | (26) 30445
Output number: 3, Rank-77: (1) 0 | (2) 3174 | (3)0/100 | (4) 94, 94 | (5) 11.0317 | (6) 218.681 | (7) 0.000296371 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 42.4074/100 | (15) 0 | (17) (94, 94) | (18) X | (19) (293125, 101831) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 32.9414 | (25) (0.44269, 110-32) | (26) 31646
Output number: 3, Rank-104: (1) 0 | (2) 277 | (3)0/100 | (4) 91, 91 | (5) 10.1127 | (6) 228.411 | (7) 0.000157545 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 44.0741/100 | (15) 0 | (17) (91, 91) | (18) X | (19) (283490, 99079) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 33.2137 | (25) (0.49495, 123-43) | (26) 41750
Output number: 3, Rank-139: (1) 2 | (2) 4025 | (3)0.0496894/100 | (4) 95, 95 | (5) 10.5755 | (6) 210.427 | (7) 0.000292456 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 40.9259/100 | (15) 0 | (17) (95, 95) | (18) X | (19) (293179, 104993) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 33.3959 | (25) (0.40181, 28-96) | (26) 97358
Output number: 3, Rank-150: (1) 0 | (2) 974 | (3)0/100 | (4) 92, 92 | (5) 9.80321 | (6) 218.264 | (7) 0.00020997 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 42.2222/100 | (15) 0 | (17) (92, 92) | (18) X | (19) (287195, 101528) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 32.082 | (25) (0.43192, 59-132) | (26) 77362
Output number: 3, Rank-39: (1) 62 | (2) 3000 | (3)2.06667/100 | (4) 156, 156 | (5) 15.9782 | (6) 210.845 | (7) 0.000284224 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 41.8519/100 | (15) 0 | (17) (156, 156) | (18) X | (19) (338988, 139887) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 446.732 | (25) (33.062, 2-19) | (26) 5824
Output number: 3, Rank-215: (1) 0 | (2) 3594 | (3)0/100 | (4) 95, 95 | (5) 11.1786 | (6) 215.059 | (7) 0.000175443 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 41.8519/100 | (15) 0 | (17) (95, 95) | (18) X | (19) (296415, 104405) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 35.2461 | (25) (0.51305, 104-117) | (26) 51985
Output number: 3, Rank-216: (1) 1 | (2) 3843 | (3)0.0260213/100 | (4) 94, 94 | (5) 10.1849 | (6) 216.936 | (7) 0.00015236 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 42.037/100 | (15) 0 | (17) (94, 94) | (18) X | (19) (290329, 103121) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 32.7869 | (25) (0.47099, 108-112) | (26) 57085
Output number: 3, Rank-179: (1) 0 | (2) 273 | (3)0/100 | (4) 92, 92 | (5) 10.7575 | (6) 220.108 | (7) 0.000156561 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 42.5926/100 | (15) 0 | (17) (92, 92) | (18) X | (19) (286909, 101463) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 34.3365 | (25) (0.51519, 126-92) | (26) 30051
Output number: 3, Rank-78: (1) 0 | (2) 213 | (3)0/100 | (4) 93, 93 | (5) 10.5462 | (6) 224.129 | (7) 0.000113536 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 43.3333/100 | (15) 0 | (17) (93, 93) | (18) X | (19) (289647, 99879) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 32.4252 | (25) (0.47708, 119-32) | (26) 37533
Output number: 3, Rank-105: (1) 0 | (2) 4741 | (3)0/100 | (4) 90, 90 | (5) 10.1468 | (6) 217.314 | (7) 0.000173903 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 42.037/100 | (15) 0 | (17) (90, 90) | (18) X | (19) (278278, 98209) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 31.8704 | (25) (0.42648, 104-52) | (26) 8754
Output number: 3, Rank-121: (1) 10 | (2) 5143 | (3)0.194439/100 | (4) 103, 103 | (5) 10.6675 | (6) 219.526 | (7) 0.000177683 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 42.5926/100 | (15) 0 | (17) (103, 103) | (18) X | (19) (296788, 106508) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 36.0195 | (25) (0.47886, 32-138) | (26) 74429
Output number: 3, Rank-151: (1) 0 | (2) 1531 | (3)0/100 | (4) 89, 89 | (5) 9.76763 | (6) 217.015 | (7) 0.000197986 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 41.8519/100 | (15) 0 | (17) (89, 89) | (18) X | (19) (277481, 97660) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 31.0251 | (25) (0.40019, 67-133) | (26) 3612
Output number: 3, Rank-37: (1) 2 | (2) 2751 | (3)0.0727008/100 | (4) 93, 93 | (5) 10.473 | (6) 219.092 | (7) 0.000267402 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 42.4074/100 | (15) 0 | (17) (93, 93) | (18) X | (19) (285910, 98761) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 33.8522 | (25) (0.51053, 18-34) | (26) 206708
Output number: 3, Rank-217: (1) 2 | (2) 4887 | (3)0.0409249/100 | (4) 92, 92 | (5) 9.81681 | (6) 222.321 | (7) 0.000211985 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 42.963/100 | (15) 0 | (17) (92, 92) | (18) X | (19) (285985, 101108) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 31.0619 | (25) (0.48283, 92-142) | (26) 54144
Output number: 3, Rank-182: (1) 0 | (2) 2846 | (3)0/100 | (4) 92, 92 | (5) 10.1946 | (6) 223.018 | (7) 0.000111401 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 43.1481/100 | (15) 0 | (17) (92, 92) | (18) X | (19) (283980, 101108) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 31.7557 | (25) (0.42214, 94-96) | (26) 64078
Output number: 3, Rank-79: (1) 4 | (2) 5342 | (3)0.0748783/100 | (4) 96, 96 | (5) 10.4123 | (6) 220.329 | (7) 0.000166652 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 42.5926/100 | (15) 0 | (17) (96, 96) | (18) X | (19) (286128, 97743) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 33.8927 | (25) (0.43788, 125-21) | (26) 28623
Output number: 3, Rank-106: (1) 0 | (2) 100 | (3)0/100 | (4) 91, 91 | (5) 10.2292 | (6) 219.844 | (7) 0.000185322 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 42.5926/100 | (15) 0 | (17) (91, 91) | (18) X | (19) (282443, 99219) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 31.9621 | (25) (0.44374, 123-51) | (26) 7825
Output number: 3, Rank-126: (1) 6 | (2) 4110 | (3)0.145985/100 | (4) 97, 97 | (5) 9.97606 | (6) 221.175 | (7) 0.000188151 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 42.7778/100 | (15) 0 | (17) (97, 97) | (18) X | (19) (288801, 103023) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 33.6404 | (25) (0.47763, 6-105) | (26) 69779
Output number: 3, Rank-161: (1) 3 | (2) 2709 | (3)0.110742/100 | (4) 94, 94 | (5) 10.2951 | (6) 216.867 | (7) 6.784e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 42.037/100 | (15) 0 | (17) (94, 94) | (18) X | (19) (283181, 101836) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 33.7311 | (25) (0.44831, 48-109) | (26) 5324
Output number: 3, Rank-31: (1) 45 | (2) 2722 | (3)1.6532/100 | (4) 66, 66 | (5) 326.826 | (6) 82.4473 | (7) 0.000282015 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 75.7407/100 | (15) 0 | (17) (66, 66) | (18) X | (19) (322990, 89940) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 998.696 | (25) (33.6762, 12-13) | (26) 1
Output number: 3, Rank-211: (1) 0 | (2) 118 | (3)0/100 | (4) 93, 93 | (5) 10.3533 | (6) 216.616 | (7) 0.000145688 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 41.8519/100 | (15) 0 | (17) (93, 93) | (18) X | (19) (287658, 102207) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 33.4041 | (25) (0.48177, 91-101) | (26) 63663
Output number: 3, Rank-184: (1) 8 | (2) 5338 | (3)0.149869/100 | (4) 102, 102 | (5) 34.1509 | (6) 208.014 | (7) 0.000139663 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 44.8148/100 | (15) 0 | (17) (102, 102) | (18) X | (19) (292340, 106717) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 627.981 | (25) (33.7842, 88-87) | (26) 52161
Output number: 3, Rank-80: (1) 5 | (2) 5347 | (3)0.0935104/100 | (4) 94, 94 | (5) 10.0961 | (6) 225.022 | (7) 0.000179721 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 43.5185/100 | (15) 0 | (17) (94, 94) | (18) X | (19) (283981, 96579) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 32.3678 | (25) (0.4254, 135-23) | (26) 43698
Output number: 3, Rank-107: (1) 1 | (2) 2336 | (3)0.0428082/100 | (4) 94, 94 | (5) 10.5416 | (6) 217.123 | (7) 0.000159507 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 42.037/100 | (15) 0 | (17) (94, 94) | (18) X | (19) (290465, 102663) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 34.1404 | (25) (0.4457, 108-65) | (26) 7573
Output number: 3, Rank-127: (1) 3 | (2) 714 | (3)0.420168/100 | (4) 97, 97 | (5) 10.874 | (6) 215.923 | (7) 0.000189081 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 41.8519/100 | (15) 0 | (17) (97, 97) | (18) X | (19) (295221, 104270) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 34.1907 | (25) (0.47422, 7-109) | (26) 87002
Output number: 3, Rank-153: (1) 0 | (2) 2562 | (3)0/100 | (4) 91, 91 | (5) 9.84672 | (6) 213.96 | (7) 4.9084e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 41.2963/100 | (15) 0 | (17) (91, 91) | (18) X | (19) (283710, 100086) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 30.6332 | (25) (0.41445, 82-137) | (26) 67218
Output number: 3, Rank-35: (1) 13 | (2) 3061 | (3)0.424698/100 | (4) 105, 105 | (5) 10.55 | (6) 221.746 | (7) 5.6693e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 42.963/100 | (15) 0 | (17) (105, 105) | (18) X | (19) (294994, 105311) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 37.8124 | (25) (0.50228, 26-26) | (26) 129679
Output number: 3, Rank-17: (1) 42 | (2) 1384 | (3)3.03468/100 | (4) 40, 40 | (5) 449.014 | (6) 38.1098 | (7) 0.000166318 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540.002 | (14) 90.1852/100 | (15) 0 | (17) (40, 40) | (18) X | (19) (155776, 49906) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 1309.52 | (25) (33.5565, 64-64) | (26) 1
Output number: 3, Rank-218: (1) 0 | (2) 179 | (3)0/100 | (4) 93, 93 | (5) 10.6672 | (6) 222.558 | (7) 0.000192848 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 43.1481/100 | (15) 0 | (17) (93, 93) | (18) X | (19) (290052, 102207) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 33.6659 | (25) (0.46459, 93-131) | (26) 58718
Output number: 3, Rank-168: (1) 0 | (2) 84 | (3)0/100 | (4) 95, 95 | (5) 10.7193 | (6) 218.514 | (7) 0.000142487 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 42.4074/100 | (15) 0 | (17) (95, 95) | (18) X | (19) (294069, 104160) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 33.6362 | (25) (0.43968, 115-67) | (26) 13750
Output number: 3, Rank-59: (1) 0 | (2) 231 | (3)0/100 | (4) 95, 95 | (5) 10.964 | (6) 228.228 | (7) 0.000282919 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 44.2593/100 | (15) 0 | (17) (95, 95) | (18) X | (19) (295084, 102758) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 34.6334 | (25) (0.43952, 62-26) | (26) 1011
Output number: 3, Rank-108: (1) 1 | (2) 1344 | (3)0.0744048/100 | (4) 91, 91 | (5) 10.053 | (6) 223.488 | (7) 0.000202876 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 43.1481/100 | (15) 0 | (17) (91, 91) | (18) X | (19) (282398, 99392) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 32.8905 | (25) (0.43321, 121-66) | (26) 7651
Output number: 3, Rank-128: (1) 0 | (2) 166 | (3)0/100 | (4) 94, 94 | (5) 10.6171 | (6) 214.157 | (7) 0.00022106 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 41.4815/100 | (15) 0 | (17) (94, 94) | (18) X | (19) (294131, 104058) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 32.9264 | (25) (0.48498, 11-97) | (26) 97449
Output number: 3, Rank-165: (1) 0 | (2) 756 | (3)0/100 | (4) 90, 90 | (5) 10.0709 | (6) 218.449 | (7) 6.335e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 42.2222/100 | (15) 0 | (17) (90, 90) | (18) X | (19) (278035, 98841) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 31.8829 | (25) (0.41651, 82-108) | (26) 5725
Output number: 3, Rank-36: (1) 0 | (2) 616 | (3)0/100 | (4) 92, 92 | (5) 10.3042 | (6) 226.438 | (7) 0.000192328 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 43.7037/100 | (15) 0 | (17) (92, 92) | (18) X | (19) (287691, 99452) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 32.532 | (25) (0.42248, 33-40) | (26) 214223
Output number: 3, Rank-22: (1) 127 | (2) 2421 | (3)5.24577/100 | (4) 41, 41 | (5) 365.49 | (6) 65.5553 | (7) 0.000179707 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540.002 | (14) 79.8148/100 | (15) 0 | (17) (41, 41) | (18) X | (19) (383318, 72753) | (20) 1 | (21) 0 | (22) 0 | (23) 4 | (24) 1280.37 | (25) (33.362, 59-58) | (26) 1
Output number: 3, Rank-221: (1) 0 | (2) 326 | (3)0/100 | (4) 93, 93 | (5) 10.3409 | (6) 214.019 | (7) 0.000113075 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 41.4815/100 | (15) 0 | (17) (93, 93) | (18) X | (19) (288315, 102223) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 33.263 | (25) (0.52506, 94-122) | (26) 63548
Output number: 3, Rank-190: (1) 13 | (2) 5342 | (3)0.243355/100 | (4) 106, 106 | (5) 16.2401 | (6) 221.835 | (7) 0.000169561 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 44.0741/100 | (15) 0 | (17) (106, 106) | (18) X | (19) (297157, 108263) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 273.954 | (25) (32.864, 90-79) | (26) 24598
Output number: 3, Rank-65: (1) 1 | (2) 307 | (3)0.325733/100 | (4) 95, 95 | (5) 10.4915 | (6) 224.631 | (7) 0.00029644 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 43.5185/100 | (15) 0 | (17) (95, 95) | (18) X | (19) (293527, 103485) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 30.9591 | (25) (0.3857, 78-24) | (26) 62165
Output number: 3, Rank-87: (1) 38 | (2) 5307 | (3)0.716035/100 | (4) 126, 126 | (5) 79.6628 | (6) 181.468 | (7) 0.000131752 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 48.3333/100 | (15) 0 | (17) (126, 126) | (18) X | (19) (347160, 132008) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 832.386 | (25) (33.6355, 90-63) | (26) 9378
